video_id,labels,top1,top1_rate,top2,top2_rate,top3,top3_rate,top4,top4_rate,top5,top5_rate
F2FjmfvmRa0,"['Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Animal']",Animal,0.9007438,Dog,0.85202044,"Domestic animals, pets",0.85106754,Howl,0.7571733,"Canidae, dogs, wolves",0.485988
KS2aTlLJPo8,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Animal,0.64415246,"Domestic animals, pets",0.5784708,Dog,0.4465468,Wild animals,0.15330924,"Canidae, dogs, wolves",0.121074654
JpOT3z8wZlc,"['Howl', 'Speech', 'Traffic noise, roadway noise']",Speech,0.26559955,Vehicle,0.24939749,Motor vehicle (road),0.103575505,Car,0.07592655,"Outside, urban or manmade",0.06899531
CsRF3qYnSLI,"['Canidae, dogs, wolves', 'Howl']","Domestic animals, pets",0.8199738,Dog,0.813691,Animal,0.8070016,Howl,0.72733825,"Canidae, dogs, wolves",0.4249584
FIktp5ggvX4,"['Laughter', 'Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Giggle', 'Bow-wow', 'Speech', 'Dog', 'Animal']","Domestic animals, pets",0.39707455,Animal,0.34963116,Dog,0.34138113,Speech,0.19225928,Howl,0.12063333
6GjsjhAbXRo,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Howl,0.5699138,Animal,0.56976664,Dog,0.56776804,"Domestic animals, pets",0.5538398,"Canidae, dogs, wolves",0.33208933
JpOT3z8wZlc,"['Howl', 'Speech', 'Traffic noise, roadway noise']",Speech,0.26559955,Vehicle,0.24939749,Motor vehicle (road),0.103575505,Car,0.07592655,"Outside, urban or manmade",0.06899531
Yx396qvohX8,"['Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Animal']",Dog,0.9081542,"Domestic animals, pets",0.9066831,Animal,0.8952676,Howl,0.60033846,"Canidae, dogs, wolves",0.39799663
6A9tDfvsZC0,"['Music', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Music,0.6637174,Harmonica,0.35393417,Musical instrument,0.2826754,"Wind instrument, woodwind instrument",0.24765301,Accordion,0.11340622
XGAy4KObjNE,['Howl'],Animal,0.3761832,"Domestic animals, pets",0.35792327,Dog,0.35337144,Howl,0.35017163,"Canidae, dogs, wolves",0.22130203
IcHFJykCIro,"['Howl', 'Bow-wow']","Domestic animals, pets",0.27482373,Dog,0.2729795,Animal,0.26800287,Howl,0.1922433,Yip,0.122924365
PRU9zAtcQDs,['Howl'],Siren,0.27418032,Alarm,0.26625836,Animal,0.26117268,Howl,0.24758896,"Domestic animals, pets",0.17622326
Yx396qvohX8,"['Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Animal']",Dog,0.9081542,"Domestic animals, pets",0.9066831,Animal,0.8952676,Howl,0.60033846,"Canidae, dogs, wolves",0.39799663
MRnpKEhDQNE,"['Wild animals', 'Howl', 'Animal']",Siren,0.21447906,Alarm,0.19235688,Singing bowl,0.15405473,Music,0.13447702,Civil defense siren,0.102581166
KS2aTlLJPo8,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Animal,0.64415246,"Domestic animals, pets",0.5784708,Dog,0.4465468,Wild animals,0.15330924,"Canidae, dogs, wolves",0.121074654
bDdf_ft5rb4,"['Canidae, dogs, wolves', 'Music', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Music,0.4840158,Silence,0.1418145,Animal,0.108950816,Speech,0.09039605,Fowl,0.08590704
SW0qQMAZKfo,"['Canidae, dogs, wolves', 'Howl', 'Bow-wow', 'Groan', 'Dog']",Animal,0.5779605,Dog,0.5627977,"Domestic animals, pets",0.557179,"Canidae, dogs, wolves",0.23552556,Howl,0.2266149
kQQrsmLvoCE,"['Canidae, dogs, wolves', 'Music', 'Domestic animals, pets', 'Howl', 'Yip', 'Dog', 'Animal', 'Inside, small room']",Music,0.57834756,"Domestic animals, pets",0.13784413,Animal,0.13782254,Dog,0.13562985,Howl,0.08719674
6A9tDfvsZC0,"['Music', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Music,0.6637174,Harmonica,0.35393417,Musical instrument,0.2826754,"Wind instrument, woodwind instrument",0.24765301,Accordion,0.11340622
6A9tDfvsZC0,"['Music', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Music,0.6637174,Harmonica,0.35393417,Musical instrument,0.2826754,"Wind instrument, woodwind instrument",0.24765301,Accordion,0.11340622
N6e5C5sXdBI,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Animal,0.8968264,"Domestic animals, pets",0.55260295,Dog,0.32728654,Fowl,0.2771182,"Chicken, rooster",0.2510892
NF1lwZ24RYI,"['Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Growling', 'Animal']","Domestic animals, pets",0.90244406,Dog,0.8946444,Animal,0.8881528,Howl,0.51237845,"Canidae, dogs, wolves",0.37390882
3IdazIWh2Ew,['Howl'],Howl,0.4052721,Animal,0.40454292,"Domestic animals, pets",0.39778,Dog,0.39681178,"Canidae, dogs, wolves",0.22513497
IBGfcPIw-KY,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Animal,0.57518,"Domestic animals, pets",0.5712599,Dog,0.56703407,Bow-wow,0.23733965,Yip,0.2291396
IcHFJykCIro,"['Howl', 'Bow-wow']","Domestic animals, pets",0.27482373,Dog,0.2729795,Animal,0.26800287,Howl,0.1922433,Yip,0.122924365
NF1lwZ24RYI,"['Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Growling', 'Animal']","Domestic animals, pets",0.90244406,Dog,0.8946444,Animal,0.8881528,Howl,0.51237845,"Canidae, dogs, wolves",0.37390882
3LvZUtupOCs,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Yip', 'Speech', 'Dog', 'Animal', 'Whimper (dog)']",Animal,0.43157965,"Livestock, farm animals, working animals",0.22364616,Fowl,0.21818829,"Chicken, rooster",0.20549795,"Domestic animals, pets",0.19911218
MUJmWnjGEBk,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal', 'Inside, small room']",Speech,0.5429565,Animal,0.27938113,"Domestic animals, pets",0.23638959,Dog,0.19395182,Howl,0.13314356
qpNx57h9Ngw,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Animal,0.5500797,"Domestic animals, pets",0.525473,Dog,0.48911586,Howl,0.38982493,"Canidae, dogs, wolves",0.2678985
o6MKemr9e4Y,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Speech,0.2721017,Howl,0.114122495,"Domestic animals, pets",0.0941637,Dog,0.093223855,Animal,0.0731261
wYNKH0Ou9vM,"['Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Speech,0.33804467,Animal,0.21342316,"Domestic animals, pets",0.20090775,Dog,0.19040252,Howl,0.0929227
Yx396qvohX8,"['Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Animal']",Dog,0.9081542,"Domestic animals, pets",0.9066831,Animal,0.8952676,Howl,0.60033846,"Canidae, dogs, wolves",0.39799663
WFJ96PH4rvo,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Dog,0.24436614,"Domestic animals, pets",0.23266539,Animal,0.22410388,Howl,0.18287794,"Inside, small room",0.16116351
PRU9zAtcQDs,['Howl'],Siren,0.27418032,Alarm,0.26625836,Animal,0.26117268,Howl,0.24758896,"Domestic animals, pets",0.17622326
bDdf_ft5rb4,"['Canidae, dogs, wolves', 'Music', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Music,0.4840158,Silence,0.1418145,Animal,0.108950816,Speech,0.09039605,Fowl,0.08590704
ASUgGJpwlMs,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Music,0.31408158,Silence,0.14761792,Singing bowl,0.10200849,Howl,0.091638,Humming,0.06768577
IqnDeca2-Zw,"['Music', 'Howl', 'Speech']",Speech,0.5755375,"Domestic animals, pets",0.057443637,Animal,0.056477267,Dog,0.05341346,Music,0.03947378
XGAy4KObjNE,['Howl'],Animal,0.3761832,"Domestic animals, pets",0.35792327,Dog,0.35337144,Howl,0.35017163,"Canidae, dogs, wolves",0.22130203
N6e5C5sXdBI,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Animal,0.8968264,"Domestic animals, pets",0.55260295,Dog,0.32728654,Fowl,0.2771182,"Chicken, rooster",0.2510892
Ik2nR__c03E,['Howl'],"Domestic animals, pets",0.87516135,Dog,0.8693676,Animal,0.8545033,Howl,0.506989,"Canidae, dogs, wolves",0.35288328
gCHF0oBPZv8,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Alarm,0.18898115,Fire alarm,0.14149213,Speech,0.13114306,Dog,0.09892298,"Domestic animals, pets",0.09427543
